more1255#Yam
mong1349#Mongolic-Khitan
kolp1236#Kol (Papua New Guinea)
naml1239#Namla-Tofanma
tana1288#Tanahmerah
jara1244#Jarawa-Onge
gong1255#Ta-Ne-Omotic
pomo1273#Pomoan
west2434#Western Daly
yang1287#Yangmanic
wint1258#Wintuan
nort1547#Northern Daly
sali1255#Salishan
kala1402#Kalapuyan
tura1263#Turama-Kikori
east2503#Eastern Trans-Fly
touo1238#Touo
xinc1237#Xincan
bora1262#Boran
bert1248#Berta
hurr1239#Hurro-Urartian
sout2845#South Omotic
kamu1264#Kamula-Elevala
jarr1235#Jarrakan
sius1254#Siuslaw
west1503#Western Tasmanian
sout2772#Southern Daly
cent2045#Jalaa
else1239#Elseng
taia1239#Taiap
pyuu1245#Pyu
tupi1275#Tupian
nivk1234#Nivkh
tara1323#Tarascan
mato1253#Mato Grosso Arára
mirn1241#Mirndi
tabo1241#Tabo
kano1245#Kanoê
amto1249#Amto-Musan
kunz1244#Kunza
saha1256#Saharan
usku1243#Usku
mose1249#Mosetén-Chimané
left1242#Left May
cahu1265#Cahuapanan
atac1235#Atacame
hara1260#Harakmbut
chap1271#Chapacuran
tini1245#Tinigua
pele1245#Pele-Ata
hrus1242#Hruso
beot1247#Beothuk
mani1293#Maningrida
kena1236#Kenaboi
krua1234#Kru
niha1238#Nihali
chiq1253#Chiquitano
east1459#East Birds Head
sepi1257#Sepik
nada1235#Naduhup
kwal1257#Kwalean
omur1241#Omurano
tebe1251#Teberan
goil1242#Goilalan
siou1252#Siouan
garr1260#Garrwan
koma1264#Koman
wadj1254#Wadjiginy
seri1257#Seri
maid1262#Maiduan
bord1247#Border
duna1248#Duna
vile1241#Vilela
wali1264#Walioic
shas1238#Shastan
tuuu1241#Tuu
taik1256#Tai-Kadai
huit1251#Huitotoan
iroq1247#Iroquoian
skoo1245#Sko
nucl1710#Nuclear-Macro-Je
shab1252#Shabo
sali1253#Salinan
otom1299#Otomanguean
come1251#Comecrudan
yeni1252#Yeniseian
utoa1244#Uto-Aztecan
tamb1257#Tambora
coah1252#Coahuilteco
nucl1709#Nuclear Trans New Guinea
cadd1255#Caddoan
surm1244#Surmic
bilu1245#Bilua
aust1307#Austronesian
muni1258#Muniche
anga1289#Angan
taus1253#Taushiro
nyul1248#Nyulnyulan
spee1234#Speech Register
cand1248#Candoshi-Shapra
sout1516#South Birds Head Family
sout2948#South Bougainville
guam1236#Guamo
bain1263#Baining
kama1371#Kamakanan
ando1256#Andoque
guac1239#Guachi
arti1236#Artificial Language
guah1252#Guahiboan
east2374#Eastern Daly
etru1241#Etruscan
yele1255#Yele
puri1261#Puri-Coroado
anim1240#Anim
kari1254#Kariri
yuru1243#Yurumanguí
kwer1242#Greater Kwerba
choc1280#Chocoan
abis1238#Aewa
atla1278#Atlantic-Congo
moro1289#Marori
oyst1235#Oyster Bay-Big River-Little Swanport
zamu1243#Zamucoan
savo1255#Savosavo
nduu1242#Ndu
kiow1265#Kiowa-Tanoan
kore1284#Koreanic
kere1287#Keresan
shom1245#Shom Peng
buru1296#Burushaski
yuat1252#Yuat
mang1423#Mangarrayi-Maran
kwaz1243#Kwaza
huar1251#Huarpean
yuch1247#Yuchi
morb1239#Mor (Bomberai Peninsula)
siam1242#Siamou
quec1387#Quechuan
chon1288#Chonan
wara1303#Warao
guai1237#Guaicurian
yuwa1244#Hoti
west1493#West Birds Head
sali1297#Saliban
tall1235#Tallán
lepk1239#Lepki-Murkim-Kembra
mand1469#Mande
kiwa1251#Kiwaian
dogo1299#Dogon
guri1248#Guriaso
abun1252#Abun
elam1244#Elamite
tuxa1239#Tuxá
monu1249#Bogia
puqu1242#Puquina
ainu1252#Ainu
nyim1244#Nyimang
boga1247#Bogaya
bayo1259#Bayono-Awbono
tung1282#Tungusic
nilo1247#Nilotic
musk1252#Muskogean
nara1262#Nara
urar1246#Urarina
wiru1244#Wiru
coch1271#Cochimi-Yuman
east2386#Eastern Jebel
trum1247#Trumai
nimb1257#Nimboranic
sume1241#Sumerian
limi1242#Limilngan-Wulna
leco1242#Leco
hatt1246#Hattic
coos1248#Coosan
miwo1274#Miwok-Costanoan
kaur1274#Kaure-Kosare
mata1275#Matanawí
pume1238#Pumé
pura1257#Purari
pano1259#Pano-Tacanan
mail1249#Mailuan
mink1237#Minkin
odia1239#Odiai
lavu1241#Lavukaleve
pank1250#Pankararú
tequ1244#Tequistlatecan
hmon1336#Hmong-Mien
khoe1240#Khoe-Kwadi
mpur1239#Mpur
iber1250#Iberian
cull1235#Culli
araw1282#Arawan
jiva1245#Chicham
kadu1256#Kadugli-Krongo
nubi1251#Nubian
soma1242#Somahai
west2604#West Bomberai
fura1235#Furan
maba1274#Maban
anda1286#Andaqui
take1257#Takelma
ticu1244#Ticuna-Yuri
kibi1239#Kibiri
unat1236#Unattested
nakh1245#Nakh-Daghestanian
giim1238#Giimbiyu
maya1287#Mayan
klam1254#Klamath-Modoc
koia1260#Koiarian
bosa1245#Bosavi
tuca1253#Tucanoan
yana1271#Yana
iran1263#Irántxe-Münkü
pawa1255#Pawaia
saus1247#Sause
mair1253#Mairasic
waka1280#Wakashan
aika1237#Aikanã
atak1252#Atakapa
turk1311#Turkic
misu1242#Misumalpan
yetf1238#Yetfa
toro1256#Tor-Orya
puel1244#Puelche
cofa1242#Cofán
mixe1287#Mixed Language
peba1241#Peba-Yagua
lowe1437#Lower Sepik-Ramu
marr1257#Marrku-Wurrugu
zapa1251#Zaparoan
namb1299#Nambiquaran
arut1244#Arutani
cent2225#Central Sudanic
mawe1251#Mawes
atha1245#Athabaskan-Eyak-Tlingit
hata1242#Hatam-Mansim
yare1250#Yareban
abin1243#Abinomn
japo1237#Japonic
umbu1235#Umbugarla
daju1249#Dajuic
waor1240#Waorani
timo1261#Timor-Alor-Pantar
kond1302#Konda-Yahadian
east2499#East Kutubu
piaw1238#Piawi
yama1264#Yámana
